order,sample,score
Sobelivirales,ABP68690.1_Cereal_yellow_dwarf_virus_RPV,0.2684703464474457
Sobelivirales,YP_003896039.2_Velvet_tobacco_mottle_virus,0.3885143863769819
Sobelivirales,AGP50166.1_Turnip_rosette_virus,0.36081033470346446
Sobelivirales,APG31666.1_Turnip_yellows_virus,0.2648120963006459
Sobelivirales,YP_009315896.1_White_clover_mottle_virus,0.26674398120963
Sobelivirales,BAP16754.1_Beet_western_yellows_virus,0.2640722254844392
Sobelivirales,BAE47071.1_Heterocapsa_circularisquama_RNA_virus,0.42824133881385795
Sobelivirales,APA23041.1_Cowpea_polerovirus_1,0.27048443922489723
Sobelivirales,AFP67700.1_Papaya_lethal_yellowing_virus,0.37439518496770396
Sobelivirales,AKS03434.1_Pepper_vein_yellows_virus,0.25768056371109815
Sobelivirales,YP_002158813.2_Sowbane_mosaic_virus,0.35123311802701107
Sobelivirales,AAZ57426.1_Beet_mild_yellowing_virus,0.2581738109219025
Sobelivirales,AHA91815.1_Cassava_Polero_like_virus,0.28193188490898413
Sobelivirales,NP_941957.2_Cocksfoot_mottle_virus,0.3561244862008221
Sobelivirales,Q5NDM9.2_Poinsettia_latent_virus_isolate_Germany_Siepen,0.2739371697005284
Sobelivirales,YP_009254738.1_Pepo_aphid_borne_yellows_virus,0.279856136230182
Sobelivirales,AOE46790.1_Grapevine_enamovirus_1,0.3111156782149148
Sobelivirales,ADE48860.1_Cucurbit_aphid_borne_yellows_virus,0.2582560187903699
Sobelivirales,AIU80171.1_Strawberry_polerovirus_1,0.27730769230769226
Sobelivirales,NP_066393.4_Sesbania_mosaic_virus,0.3538432178508514
Sobelivirales,YP_007438849.1_Lucerne_transient_streak_virus,0.3606870229007632
Sobelivirales,YP_009142784.1_Rottboellia_yellow_mottle_virus,0.35750146799765126
Sobelivirales,YP_006666506.1_Suakwa_aphid_borne_yellows_virus,0.281541397533764
Sobelivirales,YP_007438853.1_Ryegrass_mottle_virus,0.35791250733998825
Sobelivirales,AQU42692.1_African_eggplant_yellowing_virus,0.25928361714621256
Sobelivirales,YP_009344991.1_Solanum_nodiflorum_mottle_virus,0.40109219025249554
Sobelivirales,CRL92746.1_Lettuce_mild_yellows_virus,0.3229330593071051
Sobelivirales,AAK49964.1_Beet_chlorosis_virus,0.2688197298884322
Sobelivirales,YP_007438858.2_Southern_bean_mosaic_virus,0.35824133881385783
Sobelivirales,ABV55637.1_Melon_aphid_borne_yellows_virus,0.2581121550205519
Sobelivirales,AKS48297.1_Luffa_aphid_borne_yellows_virus,0.2607428068115091
Sobelivirales,ANI26445.1_Maize_yellow_mosaic_virus,0.2650998238402818
