order,sample,score
jingchuvirales,YP_009177704.1_Changping_Tick_Virus_2,0.6515060933480354
jingchuvirales,AJG39073.1_Wuhan_Louse_Fly_Virus_7,0.6503080154401968
jingchuvirales,AJG39070.1_Wuhan_Louse_Fly_Virus_6,0.6681354339693435
jingchuvirales,YP_009254000.1_Lonestar_tick_chuvirus_1,0.6775484833483043
jingchuvirales,AJG39067.1_Wuchang_Cockroach_Virus_3,0.6897391454743484
jingchuvirales,YP_009336946.1_Hubei_odonate_virus_11,0.688546656982429
jingchuvirales,YP_009302836.1_Wenzhou_Crab_Virus_3,0.6812225486117444
jingchuvirales,YP_009333157.1_Beihai_hermit_crab_virus_3,0.6962102795127528
jingchuvirales,YP_009336632.1_Wenling_crustacean_virus_15,0.6904300210523702
jingchuvirales,YP_009344984.1_Xinzhou_nematode_virus_5,0.6862917398945517
levivirales,ACN90651.1_Enterobacterio_phage_MS2,0.6668866332618739
levivirales,AMQ23551.1_unidentified_ssRNA_virus,0.6900307998280961
levivirales,AAC06252.1_Enterobacteria_phage_M11,0.6789209917505241
levivirales,AMQ23530.1_unidentified_ssRNA_virus,0.6942961870742648
levivirales,AMQ23539.1_unidentified_ssRNA_virus,0.6698717948717948
cryppavirales,AHF48632.1_Sclerotinia_sclerotiorum_mitovirus_16,0.523835263152022
cryppavirales,AMS38556.1_Hymenoscyphus_fraxineus_mitovirus_1,0.6530649437998508
cryppavirales,AEP83726.1_Tuber_excavatum_mitovirus,0.6643222881161606
cryppavirales,YP_009272900.1_Fusarium_poae_mitovirus_3,0.6605110862513219
cryppavirales,BAJ23143.2_Rhizophagus_sp_RF1_mitovirus,0.664726781374903
cryppavirales,YP_009165597.1_Binucleate_Rhizoctonia_mitovirus_K1,0.6570387387055912
cryppavirales,AGC24233.1_Sclerotinia_sclerotiorum_mitovirus_4,0.6553940799941698
cryppavirales,ALD89122.1_Rhizoctonia_solani_mitovirus_3,0.6439264328485885
durnavirales,AIW53312.1_Picobirnavirus_HK_2014,0.45083975418146416
durnavirales,AGQ49482.1_Beet_cryptic_virus_2,0.5900782177505219
durnavirales,BAU79482.1_Diatom_colony_associated_dsRNA_virus_1,0.6010219005294692
durnavirales,YP_009342443.1_Wuhan_insect_virus_14,0.6146701745967835
durnavirales,ADG56983.1_Human_picobirnavirus,0.6345924907030156
durnavirales,O15925.1_Cryptosporidium_parvum_virus_1_strain_KSU_1_,0.6397316764401753
durnavirales,AHL25151.1_Heterobasidion_partitivirus_12,0.6334230236520487
durnavirales,AHL25161.1_Heterobasidion_partitivirus_14,0.6320639917319129
durnavirales,YP_003868436.1_Rhododendron_virus_A,0.6463939232094328
durnavirales,ADV15443.1_Heterobasidion_partitivirus_4,0.6480628949839445
durnavirales,BAQ36631.1_Fusarium_solani_partitivirus_2,0.6452874959995977
durnavirales,YP_008719882.1_Red_clover_cryptic_virus_1,0.6331378865876308
durnavirales,ADV15444.1_Heterobasidion_partitivirus_5,0.6289692046024705
durnavirales,YP_009333562.1_Beihai_sipunculid_worm_virus_6,0.6339259614542048
durnavirales,AMK47912.2_Lactarius_rufus_RNA_virus_1,0.6127807343183443
durnavirales,BAM36402.1_Rosellinia_necatrix_partitivirus_4,0.6096322241681262
tolivirales,APA23091.1_Cowpea_tombusvirid_1,0.6318040330267258
tolivirales,ABD34316.1_Sesame_necrotic_mosaic_virus,0.5663954160594715
tolivirales,YP_008828157.1_Yam_spherical_virus,0.5658314093474358
tolivirales,YP_001285474.1_Maize_white_line_mosaic_virus,0.585664937518684
tolivirales,YP_009032634.1_Pothos_latent_virus,0.5736965541996796
tolivirales,YP_008378651.1_Calibrachoa_mottle_virus,0.5696791157478334
tolivirales,AHZ96948.1_Cucumber_Bulgarian_virus,0.6207322347646526
tolivirales,CAA59478.2_Carnation_Italian_ringspot_virus,0.6200612425183242
tolivirales,NP_619521.1_Cowpea_mottle_virus,0.5675637184318262
tolivirales,NP_044382.1_Saguaro_cactus_virus,0.5651007313576156
tolivirales,YP_009270620.1_Gompholobium_virus_A,0.5906143662251081
tolivirales,YP_009143309.1_Nectarine_stem_pitting_associated_virus,0.6484845915647076
tolivirales,NP_945122.1_Pelargonium_flower_break_virus,0.9056301527571182
tolivirales,YP_004300263.2_Trailing_lespedeza_virus_1,0.5942229666826266
tolivirales,YP_002117834.1_Cocksfoot_mild_mosaic_virus,0.5962026794049375
tolivirales,NP_038453.1_Japanese_iris_necrotic_ring_virus,0.8376465941390371
tolivirales,BAV91502.1_Adonis_mosaic_virus,0.5603268579056426
tolivirales,NP_044740.1_Leek_white_stripe_virus,0.6170974459998302
tolivirales,AGC04692.1_Melon_necrotic_spot_virus,0.5493494023570431
tolivirales,CAH25508.1_Carnation_mottle_virus,0.9072888642591417
tolivirales,YP_001949736.1_Rose_spring_dwarf_associated_virus,0.6412732437850552
tolivirales,AEC50097.1_Olive_mild_mosaic_virus,0.570958839095667
tolivirales,APE61607.1_Melon_necrotic_spot_virus,0.5491168844767165
tolivirales,YP_009116634.1_Elderberry_latent_virus,0.5627796470905162
tolivirales,ABC67516.1_Melon_necrotic_spot_virus,0.5465501120497768
tolivirales,YP_009316228.1_Cherry_associated_luteovirus,0.6375973358459397
tolivirales,YP_007501034.1_Rosa_rugosa_leaf_distortion_virus,0.5641902896892291
tolivirales,NP_608311.1_Tobacco_necrosis_virus_D,0.6113599285545723
tolivirales,YP_001039884.1_Nootka_lupine_vein_clearing_virus,0.5724412859911718
tolivirales,NP_563609.1_Bean_leafroll_virus,0.6380092927022151
tolivirales,AFP55349.1_Soybean_dwarf_virus,0.6362104244547214
tolivirales,YP_004191788.1_Honeysuckle_ringspot_virus,0.8163950958002378
tolivirales,YP_009333133.1_Bermuda_grass_latent_virus,0.5750012837590355
tolivirales,YP_009116639.1_Pelargonium_ringspot_virus,0.5626506523732008
tolivirales,NP_041884.1_Cardamine_chlorotic_fleck_virus,0.6394701938589161
tolivirales,NP_620674.3_Sweet_clover_necrotic_mosaic_virus,0.6416397429556566
tolivirales,NP_619711.1_Carnation_ringspot_virus,0.6521072814794779
tolivirales,AGO96548.1_Thin_paspalum_asymptomatic_virus,0.5639338307959187
tolivirales,NP_862835.2_Pea_stem_necrosis_virus,0.563989804268078
tolivirales,NP_068342.1_Panicum_mosaic_virus,0.5665338820217792
tolivirales,YP_009162058.1_Groundnut_rosette_virus,0.5940843724122324
tolivirales,CAX62133.2_Tobacco_bushy_top_virus,0.5953907922893003
tolivirales,YP_009056849.1_Ethiopian_tobacco_bushy_top_virus,0.5944030234578509
tolivirales,AEM45994.1_Pea_enation_mosaic_virus_2,0.5991558244765386
tolivirales,ACN59473.1_Soybean_yellow_mottle_mosaic_virus,0.8166785296152416
tolivirales,NP_619751.1_Oat_chlorotic_stunt_virus,0.6752008201325695
tolivirales,AMQ67162.1_Providence_virus,0.641606280193237
articulavirales,ADL64055.1_Influenza_A_virus_A_chicken_Orissa_India_2317_2004_H9N2_,0.4398971307722053
articulavirales,AFK09819.1_Influenza_B_virus_B_Malaysia_1814277_2007_,0.47651390070242516
articulavirales,ADV69061.1_Influenza_A_virus_A_Denmark_105_2010_H3N2_,0.301808241757887
articulavirales,AED98371.1_Jos_virus,0.6295629979784118
articulavirales,AQM37684.1_Steelhead_trout_orthomyxovirus_1,0.6682082867123379
articulavirales,AHB34055.1_Upolu_virus,0.6346197612673813
articulavirales,ADI79236.1_Influenza_A_virus_A_chicken_Uchal_8286_2006_H9N2_,0.5218685594290358
articulavirales,AJG39096.1_Wuhan_Mothfly_Virus,0.6795088355373824
articulavirales,AJG39090.1_Wuhan_Louse_Fly_Virus_4,0.6505942828341487
articulavirales,4WRT_B_Influenza_B_virus_B_Memphis_13_2003_,0.5579045886715618
articulavirales,CAC19698.1_Influenza_A_virus_A_chicken_Pakistan_2_1999_H9N2_,0.37262023218709206
articulavirales,AEA03904.1_Influenza_A_virus_A_Uganda_MUWRP_021_2008_H3N2_,0.38442917461852083
articulavirales,AIO11622.1_Influenza_D_virus_D_bovine_Kansas_14_22_2012_,0.6102546512044185
articulavirales,BAV18542.1_Influenza_C_virus_C_Yamagata_3_2005_,0.6079819062818055
articulavirales,AGQ47773.1_Influenza_A_virus_A_Fort_Monmouth_1_JY2_1947_H1N1_,0.37298212971239764
articulavirales,ABK00130.1_Influenza_A_virus_A_swine_Anhui_ca_2004_H5N1_,0.37059720300723675
articulavirales,AEM98331.1_Influenza_A_virus_A_wild_duck_Mongolia_1_241_2008_H7N9_,0.36861133353346165
articulavirales,ADE75156.1_Influenza_A_virus_A_mallard_Sweden_41_2002_H10N6_,0.3689358837075843
articulavirales,AJI76055.1_Influenza_A_virus_A_swine_Guangdong_2_2013_H1N1_,0.3767742376399181
articulavirales,4WSB_B_Influenza_A_virus_A_little_yellow_shouldered_bat_Guatemala_060_2010_H17N10_,0.42545830091895714
articulavirales,ALD19243.1_Influenza_A_virus_A_chicken_Qingdao_012_2014_H9N2_,0.3738477717565899
articulavirales,AJG39084.1_Jingshan_Fly_Virus_1,0.6355068604226056
