order,sample,score
jingchuvirales,AJG39073.1_Wuhan_Louse_Fly_Virus_7,0.6503080154401968
levivirales,ACN90651.1_Enterobacterio_phage_MS2,0.6668866332618739
cryppavirales,AHF48632.1_Sclerotinia_sclerotiorum_mitovirus_16,0.523835263152022
durnavirales,AIW53312.1_Picobirnavirus_HK_2014,0.45083975418146416
tolivirales,ABC67516.1_Melon_necrotic_spot_virus,0.5465501120497768
articulavirales,ADV69061.1_Influenza_A_virus_A_Denmark_105_2010_H3N2_,0.301808241757887
nidovirales,AIA62270.1_BtMs_AlphaCoV_GS2013,0.44249001557632694
hepelivirales,BAO31621.1_Hepatitis_E_virus,0.4569494940556682
bunyavirales,AFM44927.1_Basiki_virus,0.5095613057010455
sobelivirales,AAZ57426.1_Beet_mild_yellowing_virus,0.43068988486241366
stellavirales,AGH62581.1_Mamastrovirus_1,0.38902884406352656
martellivirales,YP_009310116.1_Ceratobasidium_endornavirus_G,0.6457912457912458
picornavirales,AFM84629.1_Rhinovirus_C,0.43642169508257067
mindivirales,NP_690817.1_Pseudomonas_phage_phi13,0.5521455223880598
reovirales,ADF57894.1_Human_rotavirus_B,0.4799088205556824
nodamuvirales,AJR19138.1_Lake_Sinai_virus,0.5358843930405544
wolframvirales,SCW25778.1_Beauveria_bassiana_narnavirus,0.5149852488512616
mononegavirales,YP_009094476.1_Dolphin_rhabdovirus,0.46906702338935846
amarillovirales,AJY53441.1_Mosquito_flavivirus,0.4579266075764675
ghabrivirales,APS85760.1_Biomphalaria_virus_5,0.4983777329888973
patatavirales,AAB50573.1_Potato_virus_Y,0.271293121164246
ourlivirales,ALM62250.1_Soybean_leaf_associated_ourmiavirus_2,0.5169108895427456
muvirales,YP_009337864.1_Wenzhou_qinvirus_like_virus_2,0.6949300699300699
tymovirales,ALI88677.1_Grapevine_Pinot_gris_virus,0.4271557563582654
